DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2019,8.852,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2020,8.918,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2021,8.953,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,ES,2022,9.257,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2013,7.295,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2014,7.675,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2015,7.784,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2016,7.841,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2017,7.909,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2018,8.142,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2019,8.365,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2020,8.596,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2021,8.592,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,EU27_2020,2022,9.309,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2013,5.586,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2014,5.453,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2015,5.730,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2016,5.686,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2017,5.789,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2018,5.751,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2019,5.938,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2020,6.176,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2021,6.060,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FI,2022,6.358,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2013,7.663,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2014,8.052,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2015,8.012,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2016,8.243,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2017,8.428,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2018,8.617,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2019,8.885,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2020,9.273,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2021,9.121,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,FR,2022,10.278,
ESTAT:NRG_IND_EP$DEFAULTVIEW(1.0),15/05/24 23:00:00,A,EUR_KGOE,HR,2013,5.217,
