country_or_region;date;variable;generation_twh
Europe;2018-03-01;Wind and solar;51.37
Europe;2018-04-01;Bioenergy;11.13
Europe;2018-04-01;Clean;222.27
Europe;2018-04-01;Coal;64.33
Europe;2018-04-01;Fossil;150.25
Europe;2018-04-01;Gas;78.06
Europe;2018-04-01;Hydro;78.12
Europe;2018-04-01;Nuclear;85.09
Europe;2018-04-01;Other Fossil;7.86
Europe;2018-04-01;Other Renewables;2.31
Europe;2018-04-01;Solar;13.91
Europe;2018-04-01;Wind;31.71
Europe;2018-04-01;Wind and solar;45.62
Europe;2018-05-01;Bioenergy;10.77
Europe;2018-05-01;Clean;217.53
Europe;2018-05-01;Coal;66.68
Europe;2018-05-01;Fossil;151.22
Europe;2018-05-01;Gas;76.7
Europe;2018-05-01;Hydro;80.34
Europe;2018-05-01;Nuclear;82.57
Europe;2018-05-01;Other Fossil;7.84
Europe;2018-05-01;Other Renewables;2.33
Europe;2018-05-01;Solar;16.83
Europe;2018-05-01;Wind;24.69
Europe;2018-05-01;Wind and solar;41.52
Europe;2018-06-01;Bioenergy;9.86
Europe;2018-06-01;Clean;204.63
Europe;2018-06-01;Coal;69.8
Europe;2018-06-01;Fossil;160.95
Europe;2018-06-01;Gas;83.8
Europe;2018-06-01;Hydro;70.89
Europe;2018-06-01;Nuclear;82.73
Europe;2018-06-01;Other Fossil;7.35
Europe;2018-06-01;Other Renewables;2.2
Europe;2018-06-01;Solar;16.56
Europe;2018-06-01;Wind;22.39
Europe;2018-06-01;Wind and solar;38.95
Europe;2018-07-01;Bioenergy;10.21
Europe;2018-07-01;Clean;200.85
Europe;2018-07-01;Coal;80.08
Europe;2018-07-01;Fossil;195.07
Europe;2018-07-01;Gas;107.05
Europe;2018-07-01;Hydro;63.41
Europe;2018-07-01;Nuclear;87.84
Europe;2018-07-01;Other Fossil;7.94
Europe;2018-07-01;Other Renewables;2.23
Europe;2018-07-01;Solar;18.86
Europe;2018-07-01;Wind;18.3
Europe;2018-07-01;Wind and solar;37.16
Europe;2018-08-01;Bioenergy;10.55
Europe;2018-08-01;Clean;197.2
Europe;2018-08-01;Coal;77.32
Europe;2018-08-01;Fossil;184.71
Europe;2018-08-01;Gas;99.41
Europe;2018-08-01;Hydro;57.95
Europe;2018-08-01;Nuclear;85.38
Europe;2018-08-01;Other Fossil;7.98
Europe;2018-08-01;Other Renewables;2.26
Europe;2018-08-01;Solar;16.12
Europe;2018-08-01;Wind;24.94
Europe;2018-08-01;Wind and solar;41.06
Europe;2018-09-01;Bioenergy;10.62
Europe;2018-09-01;Clean;190.92
Europe;2018-09-01;Coal;78.06
Europe;2018-09-01;Fossil;181.6
Europe;2018-09-01;Gas;95.84
Europe;2018-09-01;Hydro;51.74
Europe;2018-09-01;Nuclear;83.85
Europe;2018-09-01;Other Fossil;7.7
Europe;2018-09-01;Other Renewables;2.2
Europe;2018-09-01;Solar;13.12
Europe;2018-09-01;Wind;29.39
Europe;2018-09-01;Wind and solar;42.51
Europe;2018-10-01;Bioenergy;11.8
Europe;2018-10-01;Clean;199.6
Europe;2018-10-01;Coal;82.73
Europe;2018-10-01;Fossil;199.28
Europe;2018-10-01;Gas;108.5
Europe;2018-10-01;Hydro;50.11
Europe;2018-10-01;Nuclear;87.9
Europe;2018-10-01;Other Fossil;8.05
Europe;2018-10-01;Other Renewables;2.44
Europe;2018-10-01;Solar;9.18
Europe;2018-10-01;Wind;38.17
Europe;2018-10-01;Wind and solar;47.35
Europe;2018-11-01;Bioenergy;12.06
Europe;2018-11-01;Clean;209.11
Europe;2018-11-01;Coal;87.63
Europe;2018-11-01;Fossil;214.65
Europe;2018-11-01;Gas;118.96
Europe;2018-11-01;Hydro;60.53
Europe;2018-11-01;Nuclear;90.71
Europe;2018-11-01;Other Fossil;8.06
Europe;2018-11-01;Other Renewables;2.48
Europe;2018-11-01;Solar;4.65
Europe;2018-11-01;Wind;38.68
Europe;2018-11-01;Wind and solar;43.33
Europe;2018-12-01;Bioenergy;13.06
Europe;2018-12-01;Clean;233.61
Europe;2018-12-01;Coal;83.73
Europe;2018-12-01;Fossil;210.88
Europe;2018-12-01;Gas;118.72
Europe;2018-12-01;Hydro;67.44
Europe;2018-12-01;Nuclear;102.38
Europe;2018-12-01;Other Fossil;8.43
Europe;2018-12-01;Other Renewables;2.57
Europe;2018-12-01;Solar;3.42
Europe;2018-12-01;Wind;44.74
Europe;2018-12-01;Wind and solar;48.16
Europe;2019-01-01;Bioenergy;12.89
Europe;2019-01-01;Clean;240.21
Europe;2019-01-01;Coal;90.03
Europe;2019-01-01;Fossil;233
Europe;2019-01-01;Gas;132.21
Europe;2019-01-01;Hydro;67.42
Europe;2019-01-01;Nuclear;106.14
Europe;2019-01-01;Other Fossil;10.76
Europe;2019-01-01;Other Renewables;2.61
Europe;2019-01-01;Solar;4.3
Europe;2019-01-01;Wind;46.85
Europe;2019-01-01;Wind and solar;51.15
Europe;2019-02-01;Bioenergy;11.16
Europe;2019-02-01;Clean;219.49
Europe;2019-02-01;Coal;75.56
Europe;2019-02-01;Fossil;192.26
Europe;2019-02-01;Gas;107.74
Europe;2019-02-01;Hydro;61.26
Europe;2019-02-01;Nuclear;97.02
Europe;2019-02-01;Other Fossil;8.96
Europe;2019-02-01;Other Renewables;2.36
Europe;2019-02-01;Solar;8.26
Europe;2019-02-01;Wind;39.43
Europe;2019-02-01;Wind and solar;47.69
Europe;2019-03-01;Bioenergy;12.11
Europe;2019-03-01;Clean;242.02
Europe;2019-03-01;Coal;69.54
Europe;2019-03-01;Fossil;183.71
Europe;2019-03-01;Gas;105.05
Europe;2019-03-01;Hydro;64.87
Europe;2019-03-01;Nuclear;99.13
Europe;2019-03-01;Other Fossil;9.12
Europe;2019-03-01;Other Renewables;2.58
Europe;2019-03-01;Solar;12.06
Europe;2019-03-01;Wind;51.27
Europe;2019-03-01;Wind and solar;63.33
Europe;2019-04-01;Bioenergy;10.74
Europe;2019-04-01;Clean;217.07
Europe;2019-04-01;Coal;63.41
Europe;2019-04-01;Fossil;166.9
Europe;2019-04-01;Gas;95.21
Europe;2019-04-01;Hydro;65.5
Europe;2019-04-01;Nuclear;89.39
